ns;label;name;category;device;property;unit;type
register.DW1804.machine;web.speed;WebSpeed;measurement;fom-ind:FOM_R2R;coater:hasWebSpeedData;<https://w3id.org/emmo#MetrePerSecond>;REAL
register.DW1812;unwinder.current.roll.diameter;UnwinderCurrentRollDiameter;measurement;fom-ind:FOM_UnwindingDevice;coater:hasWinderDiameterData;<https://w3id.org/emmo#MilliMetre>;REAL
register.DW2020;unwinder.tension;UnwinderTension;measurement;fom-ind:FOM_UnwindingDevice;coater:hasWinderTensionData;<https://w3id.org/emmo#Newton>;REAL
register.DW1808;rewinder.current.roll.diameter;RewinderCurrentRollDiameter;measurement;fom-ind:FOM_RewindingDevice;coater:hasWinderDiameterData;<https://w3id.org/emmo#MilliMetre>;REAL
register.DW2000;rewinder.tension;RewinderTension;measurement;fom-ind:FOM_RewindingDevice;coater:hasWinderTensionData;<https://w3id.org/emmo#Newton>;REAL
register.DW3102;slot.die.upper.horizontal.target.positioning;SlotDieUpperHorizontalTargetPositioning;control;fom-ind:FOM_CoatingDevice;coater:hasCoaterHeadHorizontalPositionControl;<https://w3id.org/emmo#MilliMetre>;REAL
register.DW2900;slot.die.upper.vertical.target.positioning;SlotDieUpperVerticalTargetPositioning;control;fom-ind:FOM_CoatingDevice;coater:hasCoaterHeadVerticalPositionControl;<https://w3id.org/emmo#MilliMetre>;REAL
register.DW1834;slot.die.upper.horizontal.positioning;SlotDieUpperHorizontalPositioning;measurement;fom-ind:FOM_CoatingDevice;coater:hasCoaterHeadHorizontalPositionData;<https://w3id.org/emmo#MilliMetre>;REAL
register.DW1832;slot.die.upper.vertical.positioning;SlotDieUpperVerticalPositioning;measurement;fom-ind:FOM_CoatingDevice;coater:hasCoaterHeadVerticalPositionData;<https://w3id.org/emmo#MilliMetre>;REAL
register.DW3088;oven1.temperature.setpoint;Oven1TemperatureSetpoint;control;fom-ind:FOM_Oven1;coater:hasFurnaceTemperatureControl;<https://w3id.org/emmo#DegreeCelsius>;REAL
register.DW3092;oven1.inlet.fan.speed;Oven1InletFanSpeed;measurement;fom-ind:FOM_Inlet1;coater:hasFurnaceFanData;<https://w3id.org/emmo#RevolutionPerMinute>;REAL
register.DW3094;oven1.outlet.fan.speed;Oven1OutletFanSpeed;measurement;fom-ind:FOM_Outlet1;coater:hasFurnaceFanData;<https://w3id.org/emmo#RevolutionPerMinute>;REAL
register.DW3084;oven1.inlet.temperature;Oven1InletTemperature;measurement;fom-ind:FOM_Inlet1;coater:hasFurnaceTemperatureData;<https://w3id.org/emmo#DegreeCelsius>;REAL
register.DW3086;oven1.outlet.temperature;Oven1OutletTemperature;measurement;fom-ind:FOM_Outlet1;coater:hasFurnaceTemperatureData;<https://w3id.org/emmo#DegreeCelsius>;REAL
register.DW3090;oven1.ir.power;Oven1IRPower;measurement;fom-ind:FOM_IRheater1;coater:hasFurnacePowerData;<https://w3id.org/emmo#KiloWatt>;REAL
register.DW2502;oven2.temperature.setpoint;Oven2TemperatureSetpoint;control;fom-ind:FOM_Oven2;coater:hasFurnaceTemperatureControl;<https://w3id.org/emmo#DegreeCelsius>;REAL
register.DW2506;oven2.inlet.fan.speed;Oven2InletFanSpeed;measurement;fom-ind:FOM_Inlet2;coater:hasFurnaceFanData;<https://w3id.org/emmo#RevolutionPerMinute>;REAL
register.DW2508;oven2.outlet.fan.speed;Oven2OutletFanSpeed;measurement;fom-ind:FOM_Outlet2;coater:hasFurnaceFanData;<https://w3id.org/emmo#RevolutionPerMinute>;REAL
register.DW2498;oven2.inlet.temperature;Oven2InletTemperature;measurement;fom-ind:FOM_Inlet2;coater:hasFurnaceTemperatureData;<https://w3id.org/emmo#DegreeCelsius>;REAL
register.DW2500;oven2.outlet.temperature;Oven2OutletTemperature;measurement;fom-ind:FOM_Outlet2;coater:hasFurnaceTemperatureData;<https://w3id.org/emmo#DegreeCelsius>;REAL
register.DW2504;oven2.ir.power;Oven2IRPower;measurement;fom-ind:FOM_IRheater2;coater:hasFurnacePowerData;<https://w3id.org/emmo#KiloWatt>;REAL
register.DW2834;oven3.temperature.setpoint;Oven3TemperatureSetpoint;control;fom-ind:FOM_Oven3;coater:hasFurnaceTemperatureControl;<https://w3id.org/emmo#DegreeCelsius>;REAL
register.DW2836;oven3.inlet.fan.speed;Oven3InletFanSpeed;measurement;fom-ind:FOM_Inlet3;coater:hasFurnaceFanData;<https://w3id.org/emmo#RevolutionPerMinute>;REAL
register.DW2838;oven3.outlet.fan.speed;Oven3OutletFanSpeed;measurement;fom-ind:FOM_Outlet3;coater:hasFurnaceFanData;<https://w3id.org/emmo#RevolutionPerMinute>;REAL
register.DW2830;oven3.inlet.temperature;Oven3InletTemperature;measurement;fom-ind:FOM_Inlet3;coater:hasFurnaceTemperatureData;<https://w3id.org/emmo#DegreeCelsius>;REAL
register.DW2832;oven3.outlet.temperature;Oven3OutletTemperature;measurement;fom-ind:FOM_Outlet3;coater:hasFurnaceTemperatureData;<https://w3id.org/emmo#DegreeCelsius>;REAL
register.DW2840;oven3.ir.power;Oven3IRPower;measurement;fom-ind:FOM_IRheater3;coater:hasFurnacePowerData;<https://w3id.org/emmo#KiloWatt>;REAL
