name,type,namespace,identifier_type,identifier,sampling_interval,queue_size,discard_oldest,trigger,deadband_type,deadband_value
web.speed,float64,register.DW1804.machine,s,WebSpeed,,,,,,
unwinder.current.roll.diameter,float64,register.DW1812,s,UnwinderCurrentRollDiameter,,,,,,
unwinder.tension,float64,register.DW2020,s,UnwinderTension,,,,,,
rewinder.current.roll.diameter,float64,register.DW1808,s,RewinderCurrentRollDiameter,,,,,,
rewinder.tension,float64,register.DW2000,s,RewinderTension,,,,,,
slot.die.upper.horizontal.target.positioning,float64,register.DW3102,s,SlotDieUpperHorizontalTargetPositioning,,,,,,
slot.die.upper.vertical.target.positioning,float64,register.DW2900,s,SlotDieUpperVerticalTargetPositioning,,,,,,
slot.die.upper.horizontal.positioning,float64,register.DW1834,s,SlotDieUpperHorizontalPositioning,,,,,,
slot.die.upper.vertical.positioning,float64,register.DW1832,s,SlotDieUpperVerticalPositioning,,,,,,
oven1.temperature.setpoint,float64,register.DW3088,s,Oven1TemperatureSetpoint,,,,,,
oven1.inlet.fan.speed,float64,register.DW3092,s,Oven1InletFanSpeed,,,,,,
oven1.outlet.fan.speed,float64,register.DW3094,s,Oven1OutletFanSpeed,,,,,,
oven1.inlet.temperature,float64,register.DW3084,s,Oven1InletTemperature,,,,,,
oven1.outlet.temperature,float64,register.DW3086,s,Oven1OutletTemperature,,,,,,
oven1.ir.power,float64,register.DW3090,s,Oven1IRPower,,,,,,
oven2.temperature.setpoint,float64,register.DW2502,s,Oven2TemperatureSetpoint,,,,,,
oven2.inlet.fan.speed,float64,register.DW2506,s,Oven2InletFanSpeed,,,,,,
oven2.outlet.fan.speed,float64,register.DW2508,s,Oven2OutletFanSpeed,,,,,,
oven2.inlet.temperature,float64,register.DW2498,s,Oven2InletTemperature,,,,,,
oven2.outlet.temperature,float64,register.DW2500,s,Oven2OutletTemperature,,,,,,
oven2.ir.power,float64,register.DW2504,s,Oven2IRPower,,,,,,
oven3.temperature.setpoint,float64,register.DW2834,s,Oven3TemperatureSetpoint,,,,,,
oven3.inlet.fan.speed,float64,register.DW2836,s,Oven3InletFanSpeed,,,,,,
oven3.outlet.fan.speed,float64,register.DW2838,s,Oven3OutletFanSpeed,,,,,,
oven3.inlet.temperature,float64,register.DW2830,s,Oven3InletTemperature,,,,,,
oven3.outlet.temperature,float64,register.DW2832,s,Oven3OutletTemperature,,,,,,
oven3.ir.power,float64,register.DW2840,s,Oven3IRPower,,,,,,
